danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,artist_genres,track_name,artist_name,album,user
0.624,0.433,-9.572,0.0467,0.837,0.0294,0.113,0.589,124.979,4h5x3XHLVYFJaItKuO2rhy,spotify:track:4h5x3XHLVYFJaItKuO2rhy,"['pop', 'r&b', 'rap']",Ghost in the Machine (feat. Phoebe Bridgers),SZA,SOS,Mimi
0.614,0.785,-8.224,0.0668,0.549,0.842,0.348,0.853,180.036,70jc6VUdHljHN6y2AGkpyC,spotify:track:70jc6VUdHljHN6y2AGkpyC,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",Mojo So Dope,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager (Explicit Version),Mimi
0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Hypnotize - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Mimi
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Mimi
0.615,0.55,-13.858,0.0349,0.0546,0.19,0.747,0.549,95.488,3xGJuHvSxFJxxYlHj5BIoT,spotify:track:3xGJuHvSxFJxxYlHj5BIoT,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Young Lust,Pink Floyd,The Wall,Mimi
0.538,0.916,-8.109,0.0622,0.0293,1.32e-05,0.473,0.491,121.036,1AJHaJFNM2Q4UpJ1fG1bIi,spotify:track:1AJHaJFNM2Q4UpJ1fG1bIi,['synth punk'],Ssx,The Hellp,Vol. 1,Mimi
0.634,0.63,-8.277,0.031,0.447,0.039,0.17,0.489,118.628,6H3kDe7CGoWYBabAeVWGiD,spotify:track:6H3kDe7CGoWYBabAeVWGiD,"['album rock', 'british invasion', 'classic rock', 'rock']",Gimme Shelter,The Rolling Stones,Let It Bleed,Mimi
0.58,0.47,-11.923,0.0337,0.863,0.934,0.11,0.43,111.459,40MYrR5GY6f0ghFOnJJC9v,spotify:track:40MYrR5GY6f0ghFOnJJC9v,['slowcore'],Gold Dust,Duster,Stratosphere,Mimi
0.729,0.929,-3.297,0.238,0.0759,0.000846,0.303,0.884,92.675,36yUCSB9OaMz0RMUQDOSpT,spotify:track:36yUCSB9OaMz0RMUQDOSpT,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Let Me Ride,Dr. Dre,The Chronic,Mimi
0.841,0.738,-5.325,0.3,0.102,0.0235,0.0901,0.305,93.725,2bXI4Rbw1D7aVeHWLjn1Lb,spotify:track:2bXI4Rbw1D7aVeHWLjn1Lb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Machine Gun Funk - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),Mimi
0.533,0.952,-5.757,0.0354,0.00385,0.0,0.283,0.31,137.03,7pVCgzMqsnh2hggEtpErnv,spotify:track:7pVCgzMqsnh2hggEtpErnv,[],Sabotage,Snow Strippers,April Mixtape 2,Mimi
0.76,0.964,-5.844,0.0577,0.00181,0.703,0.0975,0.643,125.003,6ho0GyrWZN3mhi9zVRW7xi,spotify:track:6ho0GyrWZN3mhi9zVRW7xi,"['australian house', 'house']",Losing It,FISHER,Losing It,Mimi
0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,"['album rock', 'classic rock', 'hard rock', 'rock']",Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Mimi
0.395,0.769,-5.528,0.0369,0.014,0.0325,0.112,0.408,140.078,76U2JknPYxnivAcV63Yz36,spotify:track:76U2JknPYxnivAcV63Yz36,['grave wave'],Sick Machine,Pictureplane,Technomancer,Mimi
0.881,0.361,-14.728,0.237,0.0502,0.00458,0.246,0.799,96.43,4HfxDJ0uLHTLe0fZrx0MbQ,spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",Check the Rhime,A Tribe Called Quest,The Low End Theory,Mimi
